11,District Total,Inactive,"2591","1179",83,10,35,228,1,0,2,"1431","5560"
11,District Total,Total,"36104","18384","1372",123,427,"2992",15,12,41,"20240","79710"
12,Suffolk,Active,"29026","28875","2056",180,303,"4168",12,8,54,"25595","90277"
12,Suffolk,Inactive,"1941","1636",91,15,25,272,0,0,6,"1489","5475"
12,Suffolk,Total,"30967","30511","2147",195,328,"4440",12,8,60,"27084","95752"
12,District Total,Active,"29026","28875","2056",180,303,"4168",12,8,54,"25595","90277"
12,District Total,Inactive,"1941","1636",91,15,25,272,0,0,6,"1489","5475"
12,District Total,Total,"30967","30511","2147",195,328,"4440",12,8,60,"27084","95752"
13,Nassau,Active,"40807","23920",655,157,163,"3566",10,6,32,"22872","92188"
13,Nassau,Inactive,"1661",951,25,8,6,134,0,0,0,935,"3720"
13,Nassau,Total,"42468","24871",680,165,169,"3700",10,6,32,"23807","95908"
13,District Total,Active,"40807","23920",655,157,163,"3566",10,6,32,"22872","92188"
13,District Total,Inactive,"1661",951,25,8,6,134,0,0,0,935,"3720"
13,District Total,Total,"42468","24871",680,165,169,"3700",10,6,32,"23807","95908"
14,Nassau,Active,"31210","41560","1389",183,226,"3609",14,3,39,"25395","103628"
14,Nassau,Inactive,"1069","1242",41,15,4,138,0,0,0,769,"3278"
14,Nassau,Total,"32279","42802","1430",198,230,"3747",14,3,39,"26164","106906"
14,District Total,Active,"31210","41560","1389",183,226,"3609",14,3,39,"25395","103628"
14,District Total,Inactive,"1069","1242",41,15,4,138,0,0,0,769,"3278"
14,District Total,Total,"32279","42802","1430",198,230,"3747",14,3,39,"26164","106906"
15,Nassau,Active,"29454","36049","1232",170,198,"3968",13,2,29,"24545","95660"
15,Nassau,Inactive,"1241","1403",44,11,3,191,1,0,2,941,"3837"
15,Nassau,Total,"30695","37452","1276",181,201,"4159",14,2,31,"25486","99497"
15,District Total,Active,"29454","36049","1232",170,198,"3968",13,2,29,"24545","95660"
15,District Total,Inactive,"1241","1403",44,11,3,191,1,0,2,941,"3837"
15,District Total,Total,"30695","37452","1276",181,201,"4159",14,2,31,"25486","99497"
16,Nassau,Active,"38515","26408",618,146,126,"3565",19,7,31,"26583","96018"
16,Nassau,Inactive,"1659",958,25,9,3,151,0,0,0,870,"3675"
16,Nassau,Total,"40174","27366",643,155,129,"3716",19,7,31,"27453","99693"
16,District Total,Active,"38515","26408",618,146,126,"3565",19,7,31,"26583","96018"
16,District Total,Inactive,"1659",958,25,9,3,151,0,0,0,870,"3675"
16,District Total,Total,"40174","27366",643,155,129,"3716",19,7,31,"27453","99693"
17,Nassau,Active,"29482","38565","1611",161,279,"3863",18,3,50,"23009","97041"
17,Nassau,Inactive,"1135","1338",54,10,17,180,0,0,0,884,"3618"
17,Nassau,Total,"30617","39903","1665",171,296,"4043",18,3,50,"23893","100659"
17,District Total,Active,"29482","38565","1611",161,279,"3863",18,3,50,"23009","97041"
17,District Total,Inactive,"1135","1338",54,10,17,180,0,0,0,884,"3618"
17,District Total,Total,"30617","39903","1665",171,296,"4043",18,3,50,"23893","100659"
18,Nassau,Active,"52089","12336",363,94,428,"2099",25,28,6,"14482","81950"
18,Nassau,Inactive,"2089",576,15,5,12,102,0,0,0,554,"3353"
18,Nassau,Total,"54178","12912",378,99,440,"2201",25,28,6,"15036","85303"
18,District Total,Active,"52089","12336",363,94,428,"2099",25,28,6,"14482","81950"
18,District Total,Inactive,"2089",576,15,5,12,102,0,0,0,554,"3353"
18,District Total,Total,"54178","12912",378,99,440,"2201",25,28,6,"15036","85303"
19,Nassau,Active,"28412","36516","1212",152,174,"3803",7,11,39,"24245","94571"
19,Nassau,Inactive,"1051","1251",46,6,5,133,0,0,0,796,"3288"
19,Nassau,Total,"29463","37767","1258",158,179,"3936",7,11,39,"25041","97859"
19,District Total,Active,"28412","36516","1212",152,174,"3803",7,11,39,"24245","94571"
19,District Total,Inactive,"1051","1251",46,6,5,133,0,0,0,796,"3288"
19,District Total,Total,"29463","37767","1258",158,179,"3936",7,11,39,"25041","97859"
20,Nassau,Active,"39486","32172",870,194,198,"3459",9,6,41,"22059","98494"
20,Nassau,Inactive,"1711","1183",39,9,6,185,0,0,4,890,"4027"
20,Nassau,Total,"41197","33355",909,203,204,"3644",9,6,45,"22949","102521"
20,District Total,Active,"39486","32172",870,194,198,"3459",9,6,41,"22059","98494"
20,District Total,Inactive,"1711","1183",39,9,6,185,0,0,4,890,"4027"
20,District Total,Total,"41197","33355",909,203,204,"3644",9,6,45,"22949","102521"
21,Nassau,Active,"36697","34918","1130",178,227,"3785",14,19,35,"22281","99284"
21,Nassau,Inactive,"1619","1343",34,6,11,159,0,0,3,871,"4046"
21,Nassau,Total,"38316","36261","1164",184,238,"3944",14,19,38,"23152","103330"
21,District Total,Active,"36697","34918","1130",178,227,"3785",14,19,35,"22281","99284"
21,District Total,Inactive,"1619","1343",34,6,11,159,0,0,3,871,"4046"
21,District Total,Total,"38316","36261","1164",184,238,"3944",14,19,38,"23152","103330"
22,Nassau,Active,"45262","24178",911,140,270,"3257",16,7,35,"19975","94051"
22,Nassau,Inactive,"1553",860,37,8,12,103,0,0,0,632,"3205"
22,Nassau,Total,"46815","25038",948,148,282,"3360",16,7,35,"20607","97256"
22,District Total,Active,"45262","24178",911,140,270,"3257",16,7,35,"19975","94051"
22,District Total,Inactive,"1553",860,37,8,12,103,0,0,0,632,"3205"
22,District Total,Total,"46815","25038",948,148,282,"3360",16,7,35,"20607","97256"
23,Queens,Active,"38099","13010",706,65,199,"1994",11,4,17,"11615","65720"
23,Queens,Inactive,"2774",690,47,6,24,130,1,0,3,862,"4537"
23,Queens,Total,"40873","13700",753,71,223,"2124",12,4,20,"12477","70257"
23,District Total,Active,"38099","13010",706,65,199,"1994",11,4,17,"11615","65720"
23,District Total,Inactive,"2774",690,47,6,24,130,1,0,3,862,"4537"
23,District Total,Total,"40873","13700",753,71,223,"2124",12,4,20,"12477","70257"
24,Queens,Active,"41073","7309",254,88,167,"1600",18,2,14,"13607","64132"
24,Queens,Inactive,"2314",396,14,6,10,124,0,0,1,767,"3632"
24,Queens,Total,"43387","7705",268,94,177,"1724",18,2,15,"14374","67764"
24,District Total,Active,"41073","7309",254,88,167,"1600",18,2,14,"13607","64132"
24,District Total,Inactive,"2314",396,14,6,10,124,0,0,1,767,"3632"
24,District Total,Total,"43387","7705",268,94,177,"1724",18,2,15,"14374","67764"
25,Queens,Active,"34340","8283",330,88,165,"1512",12,1,12,"16492","61235"
25,Queens,Inactive,"2100",515,26,5,14,92,0,0,3,919,"3674"
25,Queens,Total,"36440","8798",356,93,179,"1604",12,1,15,"17411","64909"
25,District Total,Active,"34340","8283",330,88,165,"1512",12,1,12,"16492","61235"
25,District Total,Inactive,"2100",515,26,5,14,92,0,0,3,919,"3674"
25,District Total,Total,"36440","8798",356,93,179,"1604",12,1,15,"17411","64909"
26,Queens,Active,"37141","13907",611,91,169,"2238",14,3,24,"16239","70437"
26,Queens,Inactive,"2134",802,36,5,10,131,0,0,5,936,"4059"
26,Queens,Total,"39275","14709",647,96,179,"2369",14,3,29,"17175","74496"
26,District Total,Active,"37141","13907",611,91,169,"2238",14,3,24,"16239","70437"
26,District Total,Inactive,"2134",802,36,5,10,131,0,0,5,936,"4059"
26,District Total,Total,"39275","14709",647,96,179,"2369",14,3,29,"17175","74496"
27,Queens,Active,"38420","8842",297,72,201,"1582",13,1,23,"14558","64009"
27,Queens,Inactive,"2776",720,29,1,13,147,0,0,0,"1140","4826"
27,Queens,Total,"41196","9562",326,73,214,"1729",13,1,23,"15698","68835"
27,District Total,Active,"38420","8842",297,72,201,"1582",13,1,23,"14558","64009"
27,District Total,Inactive,"2776",720,29,1,13,147,0,0,0,"1140","4826"
27,District Total,Total,"41196","9562",326,73,214,"1729",13,1,23,"15698","68835"
28,Queens,Active,"37672","11661",511,130,169,"2154",12,3,27,"16568","68907"
28,Queens,Inactive,"2886",768,28,7,15,199,0,0,4,"1283","5190"
28,Queens,Total,"40558","12429",539,137,184,"2353",12,3,31,"17851","74097"
28,District Total,Active,"37672","11661",511,130,169,"2154",12,3,27,"16568","68907"
28,District Total,Inactive,"2886",768,28,7,15,199,0,0,4,"1283","5190"
28,District Total,Total,"40558","12429",539,137,184,"2353",12,3,31,"17851","74097"
29,Queens,Active,"57746","2817",169,53,221,"1357",17,0,5,"9680","72065"
29,Queens,Inactive,"3049",189,7,0,16,97,1,0,0,532,"3891"
29,Queens,Total,"60795","3006",176,53,237,"1454",18,0,5,"10212","75956"
29,District Total,Active,"57746","2817",169,53,221,"1357",17,0,5,"9680","72065"
29,District Total,Inactive,"3049",189,7,0,16,97,1,0,0,532,"3891"
29,District Total,Total,"60795","3006",176,53,237,"1454",18,0,5,"10212","75956"
30,Queens,Active,"34676","9542",451,130,208,"1918",13,2,23,"14924","61887"
30,Queens,Inactive,"2239",499,35,13,23,137,0,0,4,958,"3908"
30,Queens,Total,"36915","10041",486,143,231,"2055",13,2,27,"15882","65795"
30,District Total,Active,"34676","9542",451,130,208,"1918",13,2,23,"14924","61887"
30,District Total,Inactive,"2239",499,35,13,23,137,0,0,4,958,"3908"
30,District Total,Total,"36915","10041",486,143,231,"2055",13,2,27,"15882","65795"
31,Queens,Active,"46662","3368",164,40,251,"1244",15,1,3,"9491","61239"
31,Queens,Inactive,"2950",223,18,2,27,79,0,0,0,525,"3824"
31,Queens,Total,"49612","3591",182,42,278,"1323",15,1,3,"10016","65063"
31,District Total,Active,"46662","3368",164,40,251,"1244",15,1,3,"9491","61239"
31,District Total,Inactive,"2950",223,18,2,27,79,0,0,0,525,"3824"
31,District Total,Total,"49612","3591",182,42,278,"1323",15,1,3,"10016","65063"
32,Queens,Active,"56877","2280",111,43,246,"1246",29,1,8,"9268","70109"
32,Queens,Inactive,"3661",185,7,2,24,97,0,0,0,578,"4554"
32,Queens,Total,"60538","2465",118,45,270,"1343",29,1,8,"9846","74663"
32,District Total,Active,"56877","2280",111,43,246,"1246",29,1,8,"9268","70109"
32,District Total,Inactive,"3661",185,7,2,24,97,0,0,0,578,"4554"
32,District Total,Total,"60538","2465",118,45,270,"1343",29,1,8,"9846","74663"
33,Queens,Active,"58773","4940",318,55,195,"1670",13,3,10,"11718","77695"
33,Queens,Inactive,"3015",310,8,10,11,104,0,0,0,623,"4081"
33,Queens,Total,"61788","5250",326,65,206,"1774",13,3,10,"12341","81776"
33,District Total,Active,"58773","4940",318,55,195,"1670",13,3,10,"11718","77695"
33,District Total,Inactive,"3015",310,8,10,11,104,0,0,0,623,"4081"
33,District Total,Total,"61788","5250",326,65,206,"1774",13,3,10,"12341","81776"
34,Queens,Active,"33930","4511",157,101,168,"1087",21,2,13,"11843","51833"
34,Queens,Inactive,"1857",305,13,5,11,85,0,0,0,662,"2938"
34,Queens,Total,"35787","4816",170,106,179,"1172",21,2,13,"12505","54771"
34,District Total,Active,"33930","4511",157,101,168,"1087",21,2,13,"11843","51833"
34,District Total,Inactive,"1857",305,13,5,11,85,0,0,0,662,"2938"
